City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,vilhena,-12.7406,-60.1458,23.12,100,100,3.09,BR,1712946698
28,waitangi,-43.9535,-176.5597,16.57,96,100,4.02,NZ,1712946701
29,tralee,52.2704,-9.7026,12.09,96,100,3.19,IE,1712946704
30,acapulco de juarez,16.8634,-99.8901,28.9,65,100,5.66,MX,1712946549
31,barah,13.7,30.3667,26.71,10,14,4.89,SD,1712946709
32,blackmans bay,-43.0167,147.3167,13.62,74,98,2.44,AU,1712946712
33,blackfoot,43.1905,-112.345,22.16,32,100,2.61,US,1712946715
34,thompson,55.7435,-97.8558,0.09,64,75,0.0,CA,1712946467
35,invercargill,-46.4,168.35,6.68,95,100,0.64,NZ,1712946721
36,nar'yan-mar,67.6713,53.087,-14.52,90,100,7.7,RU,1712946724
37,qaqortoq,60.7167,-46.0333,-2.36,62,100,0.96,GL,1712946728
38,khulm,36.6974,67.6983,15.36,92,100,1.28,AF,1712946731
39,puerto natales,-51.7236,-72.4875,13.25,58,0,5.66,CL,1712946664
40,khrystynivka,48.8249,29.9681,13.24,66,6,3.13,UA,1712946738
41,carnarvon,-24.8667,113.6333,23.83,52,82,6.28,AU,1712946743
42,stanley,54.868,-1.6985,11.55,75,40,6.17,GB,1712946657
43,mahdia,35.5047,11.0622,17.97,87,95,7.65,TN,1712946751
44,pisco,-13.7,-76.2167,25.03,69,0,9.77,PE,1712946754
45,iqaluit,63.7506,-68.5145,-10.15,72,20,13.89,CA,1712946758
46,olonkinbyen,70.9221,-8.7187,-10.11,72,100,11.89,SJ,1712946761
47,port alfred,-33.5906,26.891,16.14,71,61,3.52,ZA,1712946765
48,phan thiet,10.9333,108.1,26.01,84,81,5.03,VN,1712946768
49,yemetsk,63.4721,41.7941,-1.14,84,100,3.76,RU,1712946772
50,dudinka,69.4058,86.1778,-16.32,81,100,9.76,RU,1712946775
51,wailua homesteads,22.0669,-159.378,23.24,93,100,9.77,US,1712946779
52,rongelap,11.1635,166.8941,26.68,71,100,9.29,MH,1712946782
53,puerto baquerizo moreno,-0.9,-89.6,29.55,66,40,4.12,EC,1712946608
54,yellowknife,62.456,-114.3525,3.56,81,75,7.72,CA,1712946792
55,piacabucu,-10.4056,-36.4344,29.25,71,12,3.71,BR,1712946796
56,vilyuysk,63.7553,121.6247,-30.56,100,93,0.89,RU,1712946799
57,minas de marcona,-15.2119,-75.1103,22.38,60,80,7.76,PE,1712946803
58,tofol,5.3248,163.0078,27.43,81,100,4.04,FM,1712946805
59,pagar alam,-4.0167,103.2667,21.26,99,100,0.32,ID,1712946811
60,homer,59.6425,-151.5483,3.93,75,100,5.66,US,1712946814
61,juan griego,11.0817,-63.9655,30.16,60,6,8.48,VE,1712946817
62,adamstown,-25.066,-130.1015,22.11,58,60,6.13,PN,1712946820
63,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,93,75,1.34,RU,1712946738
64,lazaro cardenas,17.9583,-102.2,31.84,47,52,5.42,MX,1712946826
65,hermanus,-34.4187,19.2345,14.89,72,98,6.19,ZA,1712946830
66,geraldton,-28.7667,114.6,19.23,72,5,5.14,AU,1712946679
67,conception bay south,47.4999,-52.9981,8.53,60,88,7.74,CA,1712946606
68,sitangkai,4.6628,119.3928,27.8,78,92,2.54,PH,1712946840
69,sinop,41.7711,34.8709,9.95,90,5,1.41,TR,1712946843
70,albany,42.6001,-73.9662,17.75,88,100,2.24,US,1712946846
71,kresttsy,58.2452,32.5165,5.8,80,100,2.06,RU,1712946850
72,bredasdorp,-34.5322,20.0403,15.05,69,100,5.39,ZA,1712946607
73,rio grande,-32.035,-52.0986,20.06,75,100,8.12,BR,1712946735
74,talnakh,69.4865,88.3972,-16.55,79,100,6.61,RU,1712946862
75,viransehir,37.2353,39.7631,13.22,83,72,1.31,TR,1712946865
76,bel ombre,-4.6167,55.4167,28.91,79,20,1.54,SC,1712946868
77,tazovsky,67.4667,78.7,-8.9,92,100,10.49,RU,1712946737
78,raduzhny,62.0961,77.475,-3.37,95,100,6.56,RU,1712946876
79,margaret river,-33.95,115.0667,16.91,66,92,3.86,AU,1712946880
80,kapuskasing,49.4169,-82.4331,2.05,100,100,7.72,CA,1712946883
81,port lincoln,-34.7333,135.8667,13.43,72,31,2.27,AU,1712946887
82,sogndal,61.2283,7.1003,9.21,75,75,4.63,NO,1712946890
83,robbah,33.2797,6.9098,15.8,63,100,10.76,DZ,1712946892
84,port elizabeth,-33.918,25.5701,14.62,84,0,2.57,ZA,1712946894
85,vorgashor,67.5833,63.95,-6.22,96,99,3.99,RU,1712946896
86,guarapari,-20.6667,-40.4975,27.72,70,28,3.86,BR,1712946808
87,mount gambier,-37.8333,140.7667,10.09,88,0,1.43,AU,1712946901
88,mount isa,-20.7333,139.5,16.87,42,1,3.09,AU,1712946904
89,susuman,62.7833,148.1667,-12.23,97,64,1.79,RU,1712946907
90,midvagur,62.0511,-7.1939,8.46,93,100,7.72,FO,1712946910
91,ushuaia,-54.8,-68.3,9.81,62,0,10.29,AR,1712946678
92,prince rupert,54.3161,-130.3201,6.83,88,100,3.6,CA,1712946915
93,port douglas,-16.4833,145.4667,25.13,77,92,7.44,AU,1712946917
94,gewane,10.1664,40.6453,30.69,46,98,5.36,ET,1712946920
95,college,64.8569,-147.8028,1.37,82,100,0.0,US,1712946622
96,dam dam,22.6222,88.4169,28.98,61,40,0.0,IN,1712946818
97,port mathurin,-19.6833,63.4167,27.04,71,58,7.27,MU,1712946925
98,hotan,37.0997,79.9269,19.26,11,99,2.18,CN,1712946927
99,posse,-14.0931,-46.3694,26.58,66,99,1.65,BR,1712946929
100,klyuchi,52.2667,79.1667,3.03,61,100,6.93,RU,1712946931
101,port said,31.2565,32.2841,19.99,77,0,5.14,EG,1712946933
102,gadzhiyevo,69.2551,33.3362,-6.24,92,95,2.33,RU,1712946796
103,caconda,-13.7333,15.0667,18.12,90,100,2.79,AO,1712946935
104,keflavik,64.0049,-22.5624,2.95,75,40,10.8,IS,1712946937
105,cambria,35.5641,-121.0808,16.8,98,93,1.79,US,1712946938
106,pontes e lacerda,-15.2261,-59.3353,25.97,90,100,0.69,BR,1712946939
107,nizhniy odes,63.6445,54.856,-5.13,88,97,4.72,RU,1712946941
108,rawson,-43.3002,-65.1023,17.11,45,100,2.35,AR,1712946643
109,teguise,29.0605,-13.564,19.12,88,0,2.57,ES,1712946943
110,priozersk,61.0393,30.1291,5.05,86,4,2.2,RU,1712946797
111,berdigestyakh,62.0989,126.6992,-28.5,100,19,1.42,RU,1712946797
112,kingston,17.997,-76.7936,30.65,71,20,6.69,JM,1712946761
113,luderitz,-26.6481,15.1594,19.33,60,1,1.49,NA,1712946950
114,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.66,GF,1712946951
115,lebu,-37.6167,-73.65,14.58,63,3,2.9,CL,1712946952
116,laminusa,5.5549,120.9136,27.59,77,8,0.4,PH,1712946953
117,hamilton,39.1834,-84.5333,12.25,91,100,6.17,US,1712946920
118,necochea,-38.5473,-58.7368,14.63,60,100,2.87,AR,1712946866
119,cafarnaum,-11.6936,-41.4683,27.39,58,76,4.7,BR,1712946956
120,bandundu,-3.3167,17.3667,24.03,97,100,2.07,CD,1712946957
121,mount vernon,40.9126,-73.8371,16.14,85,100,7.72,US,1712946690
122,vammala,61.3333,22.9,7.39,86,21,2.01,FI,1712946960
123,hithadhoo,-0.6,73.0833,26.72,87,100,4.9,MV,1712946961
124,kurmuk,10.55,34.2833,29.22,14,46,1.38,SD,1712946962
125,bodaybo,57.8506,114.1933,-5.67,96,100,1.01,RU,1712946739
126,new plymouth,-39.0667,174.0833,14.89,90,100,8.21,NZ,1712946965
127,veraval,20.9,70.3667,25.59,77,11,5.11,IN,1712946966
128,zyryanovsk,49.7386,84.2719,-3.01,70,98,1.18,KZ,1712946967
129,chincha alta,-13.4099,-76.1323,24.33,74,100,3.06,PE,1712946854
130,dong ha,16.8163,107.1003,22.86,98,89,1.28,VN,1712946969
131,lihue,21.9789,-159.3672,23.58,92,100,9.77,US,1712946970
132,galle,6.0367,80.217,25.71,87,100,1.68,LK,1712946971
133,longyearbyen,78.2186,15.6401,-10.09,52,0,8.23,SJ,1712946972
134,korhogo,9.45,-5.6333,30.47,48,71,2.37,CI,1712946782
135,grand falls-windsor,48.9332,-55.6649,9.72,43,75,3.58,CA,1712946974
136,san patricio,28.017,-97.5169,29.05,34,100,7.18,US,1712946975
137,wajir,1.7471,40.0573,30.01,65,10,5.05,KE,1712946976
138,kalevala,65.2,31.1667,0.61,93,100,4.02,RU,1712946977
139,ritchie,-29.038,24.6028,14.56,30,4,3.67,ZA,1712946978
140,san pedro,14.35,121.0167,27.57,74,20,3.58,PH,1712946979
141,peniche,39.3558,-9.3811,20.31,79,31,3.74,PT,1712946980
142,bang saphan,11.2126,99.5117,24.4,95,100,1.33,TH,1712946981
143,georgetown,5.4112,100.3354,28.96,83,20,1.03,MY,1712946982
144,betio village,1.358,172.9211,28.02,74,91,3.21,KI,1712946983
145,whitehorse,60.7161,-135.0538,2.43,29,75,1.54,CA,1712946778
146,mukalla,14.5425,49.1242,27.63,73,7,1.78,YE,1712946985
147,gaalkacyo,6.7697,47.4308,27.99,72,89,8.73,SO,1712946986
